DataSeries,period_raw,value,date,is_missing,is_zero,lag_1,pct_change,is_outlier_iqr,lower_bound,upper_bound
Accommodation,1990Jan,4,1990-01-01,False,False,,,False,-6.0,18.0
Accommodation,1990Feb,2,1990-02-01,False,False,4.0,-0.5,False,-6.0,18.0
Accommodation,1990Mar,1,1990-03-01,False,False,2.0,-0.5,False,-6.0,18.0
Accommodation,1990Apr,1,1990-04-01,False,False,1.0,0.0,False,-6.0,18.0
Accommodation,1990May,2,1990-05-01,False,False,1.0,1.0,False,-6.0,18.0
Accommodation,1990Jun,3,1990-06-01,False,False,2.0,0.5,False,-6.0,18.0
Accommodation,1990Jul,0,1990-07-01,False,True,3.0,-1.0,False,-6.0,18.0
Accommodation,1990Aug,2,1990-08-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1990Sep,1,1990-09-01,False,False,2.0,-0.5,False,-6.0,18.0
Accommodation,1990Oct,0,1990-10-01,False,True,1.0,-1.0,False,-6.0,18.0
Accommodation,1990Nov,2,1990-11-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1990Dec,3,1990-12-01,False,False,2.0,0.5,False,-6.0,18.0
Accommodation,1991Jan,0,1991-01-01,False,True,3.0,-1.0,False,-6.0,18.0
Accommodation,1991Feb,0,1991-02-01,False,True,0.0,,False,-6.0,18.0
Accommodation,1991Mar,1,1991-03-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1991Apr,1,1991-04-01,False,False,1.0,0.0,False,-6.0,18.0
Accommodation,1991May,4,1991-05-01,False,False,1.0,3.0,False,-6.0,18.0
Accommodation,1991Jun,1,1991-06-01,False,False,4.0,-0.75,False,-6.0,18.0
Accommodation,1991Jul,2,1991-07-01,False,False,1.0,1.0,False,-6.0,18.0
Accommodation,1991Aug,1,1991-08-01,False,False,2.0,-0.5,False,-6.0,18.0
Accommodation,1991Sep,3,1991-09-01,False,False,1.0,2.0,False,-6.0,18.0
Accommodation,1991Oct,2,1991-10-01,False,False,3.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1991Nov,3,1991-11-01,False,False,2.0,0.5,False,-6.0,18.0
Accommodation,1991Dec,0,1991-12-01,False,True,3.0,-1.0,False,-6.0,18.0
Accommodation,1992Jan,1,1992-01-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1992Feb,0,1992-02-01,False,True,1.0,-1.0,False,-6.0,18.0
Accommodation,1992Mar,7,1992-03-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1992Apr,2,1992-04-01,False,False,7.0,-0.7142857142857143,False,-6.0,18.0
Accommodation,1992May,2,1992-05-01,False,False,2.0,0.0,False,-6.0,18.0
Accommodation,1992Jun,1,1992-06-01,False,False,2.0,-0.5,False,-6.0,18.0
Accommodation,1992Jul,7,1992-07-01,False,False,1.0,6.0,False,-6.0,18.0
Accommodation,1992Aug,3,1992-08-01,False,False,7.0,-0.5714285714285714,False,-6.0,18.0
Accommodation,1992Sep,1,1992-09-01,False,False,3.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1992Oct,1,1992-10-01,False,False,1.0,0.0,False,-6.0,18.0
Accommodation,1992Nov,4,1992-11-01,False,False,1.0,3.0,False,-6.0,18.0
Accommodation,1992Dec,0,1992-12-01,False,True,4.0,-1.0,False,-6.0,18.0
Accommodation,1993Jan,3,1993-01-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1993Feb,3,1993-02-01,False,False,3.0,0.0,False,-6.0,18.0
Accommodation,1993Mar,4,1993-03-01,False,False,3.0,0.33333333333333326,False,-6.0,18.0
Accommodation,1993Apr,0,1993-04-01,False,True,4.0,-1.0,False,-6.0,18.0
Accommodation,1993May,5,1993-05-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1993Jun,2,1993-06-01,False,False,5.0,-0.6,False,-6.0,18.0
Accommodation,1993Jul,3,1993-07-01,False,False,2.0,0.5,False,-6.0,18.0
Accommodation,1993Aug,2,1993-08-01,False,False,3.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1993Sep,4,1993-09-01,False,False,2.0,1.0,False,-6.0,18.0
Accommodation,1993Oct,1,1993-10-01,False,False,4.0,-0.75,False,-6.0,18.0
Accommodation,1993Nov,5,1993-11-01,False,False,1.0,4.0,False,-6.0,18.0
Accommodation,1993Dec,4,1993-12-01,False,False,5.0,-0.19999999999999996,False,-6.0,18.0
Accommodation,1994Jan,3,1994-01-01,False,False,4.0,-0.25,False,-6.0,18.0
Accommodation,1994Feb,0,1994-02-01,False,True,3.0,-1.0,False,-6.0,18.0
Accommodation,1994Mar,4,1994-03-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1994Apr,2,1994-04-01,False,False,4.0,-0.5,False,-6.0,18.0
Accommodation,1994May,7,1994-05-01,False,False,2.0,2.5,False,-6.0,18.0
Accommodation,1994Jun,2,1994-06-01,False,False,7.0,-0.7142857142857143,False,-6.0,18.0
Accommodation,1994Jul,2,1994-07-01,False,False,2.0,0.0,False,-6.0,18.0
Accommodation,1994Aug,3,1994-08-01,False,False,2.0,0.5,False,-6.0,18.0
Accommodation,1994Sep,9,1994-09-01,False,False,3.0,2.0,False,-6.0,18.0
Accommodation,1994Oct,3,1994-10-01,False,False,9.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1994Nov,3,1994-11-01,False,False,3.0,0.0,False,-6.0,18.0
Accommodation,1994Dec,3,1994-12-01,False,False,3.0,0.0,False,-6.0,18.0
Accommodation,1995Jan,2,1995-01-01,False,False,3.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1995Feb,0,1995-02-01,False,True,2.0,-1.0,False,-6.0,18.0
Accommodation,1995Mar,8,1995-03-01,False,False,0.0,inf,False,-6.0,18.0
Accommodation,1995Apr,4,1995-04-01,False,False,8.0,-0.5,False,-6.0,18.0
Accommodation,1995May,1,1995-05-01,False,False,4.0,-0.75,False,-6.0,18.0
Accommodation,1995Jun,1,1995-06-01,False,False,1.0,0.0,False,-6.0,18.0
Accommodation,1995Jul,5,1995-07-01,False,False,1.0,4.0,False,-6.0,18.0
Accommodation,1995Aug,6,1995-08-01,False,False,5.0,0.19999999999999996,False,-6.0,18.0
Accommodation,1995Sep,6,1995-09-01,False,False,6.0,0.0,False,-6.0,18.0
Accommodation,1995Oct,6,1995-10-01,False,False,6.0,0.0,False,-6.0,18.0
Accommodation,1995Nov,3,1995-11-01,False,False,6.0,-0.5,False,-6.0,18.0
Accommodation,1995Dec,1,1995-12-01,False,False,3.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1996Jan,6,1996-01-01,False,False,1.0,5.0,False,-6.0,18.0
Accommodation,1996Feb,4,1996-02-01,False,False,6.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1996Mar,1,1996-03-01,False,False,4.0,-0.75,False,-6.0,18.0
Accommodation,1996Apr,2,1996-04-01,False,False,1.0,1.0,False,-6.0,18.0
Accommodation,1996May,4,1996-05-01,False,False,2.0,1.0,False,-6.0,18.0
Accommodation,1996Jun,11,1996-06-01,False,False,4.0,1.75,False,-6.0,18.0
Accommodation,1996Jul,8,1996-07-01,False,False,11.0,-0.2727272727272727,False,-6.0,18.0
Accommodation,1996Aug,3,1996-08-01,False,False,8.0,-0.625,False,-6.0,18.0
Accommodation,1996Sep,3,1996-09-01,False,False,3.0,0.0,False,-6.0,18.0
Accommodation,1996Oct,4,1996-10-01,False,False,3.0,0.33333333333333326,False,-6.0,18.0
Accommodation,1996Nov,9,1996-11-01,False,False,4.0,1.25,False,-6.0,18.0
Accommodation,1996Dec,6,1996-12-01,False,False,9.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1997Jan,4,1997-01-01,False,False,6.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1997Feb,6,1997-02-01,False,False,4.0,0.5,False,-6.0,18.0
Accommodation,1997Mar,2,1997-03-01,False,False,6.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1997Apr,9,1997-04-01,False,False,2.0,3.5,False,-6.0,18.0
Accommodation,1997May,3,1997-05-01,False,False,9.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1997Jun,1,1997-06-01,False,False,3.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1997Jul,5,1997-07-01,False,False,1.0,4.0,False,-6.0,18.0
Accommodation,1997Aug,3,1997-08-01,False,False,5.0,-0.4,False,-6.0,18.0
Accommodation,1997Sep,2,1997-09-01,False,False,3.0,-0.33333333333333337,False,-6.0,18.0
Accommodation,1997Oct,6,1997-10-01,False,False,2.0,2.0,False,-6.0,18.0
Accommodation,1997Nov,8,1997-11-01,False,False,6.0,0.33333333333333326,False,-6.0,18.0
Accommodation,1997Dec,4,1997-12-01,False,False,8.0,-0.5,False,-6.0,18.0
Accommodation,1998Jan,5,1998-01-01,False,False,4.0,0.25,False,-6.0,18.0
Accommodation,1998Feb,5,1998-02-01,False,False,5.0,0.0,False,-6.0,18.0
Accommodation,1998Mar,3,1998-03-01,False,False,5.0,-0.4,False,-6.0,18.0
Accommodation,1998Apr,4,1998-04-01,False,False,3.0,0.33333333333333326,False,-6.0,18.0
Accommodation,1998May,3,1998-05-01,False,False,4.0,-0.25,False,-6.0,18.0
Accommodation,1998Jun,5,1998-06-01,False,False,3.0,0.6666666666666667,False,-6.0,18.0
Accommodation,1998Jul,3,1998-07-01,False,False,5.0,-0.4,False,-6.0,18.0
Accommodation,1998Aug,3,1998-08-01,False,False,3.0,0.0,False,-6.0,18.0
Accommodation,1998Sep,1,1998-09-01,False,False,3.0,-0.6666666666666667,False,-6.0,18.0
Accommodation,1998Oct,4,1998-10-01,False,False,1.0,3.0,False,-6.0,18.0
Accommodation,1998Nov,0,1998-11-01,False,True,4.0,-1.0,False,-6.0,18.0
